,time,open,high,low,close,volume
622,2025-10-25 04:55:00,194.25,194.34,194.08,194.11,20157.7
623,2025-10-25 05:00:00,194.11,194.19,194.01,194.06,10845.3
624,2025-10-25 05:05:00,194.06,194.25,193.89,193.92,7456.6
625,2025-10-25 05:10:00,193.92,193.92,193.4,193.75,29000.2
626,2025-10-25 05:15:00,193.75,193.77,193.64,193.76,11630.0
627,2025-10-25 05:20:00,193.76,194.1,193.73,193.92,11333.0
628,2025-10-25 05:25:00,193.92,194.0,193.71,194.0,14277.9
629,2025-10-25 05:30:00,194.0,194.04,193.8,194.01,6380.8
630,2025-10-25 05:35:00,194.01,194.21,193.92,194.19,5139.4
631,2025-10-25 05:40:00,194.19,194.25,194.07,194.19,4866.9
632,2025-10-25 05:45:00,194.19,194.65,194.19,194.35,23679.3
633,2025-10-25 05:50:00,194.35,194.47,194.27,194.31,13795.9
634,2025-10-25 05:55:00,194.31,194.39,194.02,194.37,36631.6
635,2025-10-25 06:00:00,194.37,194.65,194.37,194.38,15786.1
636,2025-10-25 06:05:00,194.38,194.42,194.13,194.36,11886.7
637,2025-10-25 06:10:00,194.36,194.46,194.22,194.27,6215.9
638,2025-10-25 06:15:00,194.27,194.33,194.13,194.32,6371.8
639,2025-10-25 06:20:00,194.32,194.39,194.16,194.26,8096.7
640,2025-10-25 06:25:00,194.26,194.47,194.21,194.47,19148.4
641,2025-10-25 06:30:00,194.47,194.5,194.23,194.3,21700.4
642,2025-10-25 06:35:00,194.3,194.3,194.04,194.04,13428.6
643,2025-10-25 06:40:00,194.04,194.2,194.03,194.09,6247.1
644,2025-10-25 06:45:00,194.09,194.38,194.09,194.29,7328.8
645,2025-10-25 06:50:00,194.29,194.29,193.96,194.11,21939.5
646,2025-10-25 06:55:00,194.11,194.19,193.92,193.97,6633.4
647,2025-10-25 07:00:00,193.97,194.16,193.96,194.03,12300.6
648,2025-10-25 07:05:00,194.03,194.12,193.89,194.05,16506.1
649,2025-10-25 07:10:00,194.05,194.1,193.93,194.09,7190.0
650,2025-10-25 07:15:00,194.09,194.54,194.08,194.34,27412.5
651,2025-10-25 07:20:00,194.34,194.63,194.33,194.62,30797.5
652,2025-10-25 07:25:00,194.62,194.62,194.33,194.45,10421.6
653,2025-10-25 07:30:00,194.45,194.87,194.16,194.16,35174.0
654,2025-10-25 07:35:00,194.16,194.16,193.82,194.07,24528.0
655,2025-10-25 07:40:00,194.07,194.07,193.72,193.96,47281.7
656,2025-10-25 07:45:00,193.96,194.0,193.73,193.73,10953.2
657,2025-10-25 07:50:00,193.73,193.95,193.73,193.86,24408.1
658,2025-10-25 07:55:00,193.86,193.93,193.8,193.87,8287.7
659,2025-10-25 08:00:00,193.87,194.1,193.82,194.04,6440.4
660,2025-10-25 08:05:00,194.04,194.29,193.92,194.17,34362.6
661,2025-10-25 08:10:00,194.17,194.25,194.14,194.15,7112.8
662,2025-10-25 08:15:00,194.15,194.54,194.11,194.52,38940.5
663,2025-10-25 08:20:00,194.52,195.32,194.52,194.92,158145.3
664,2025-10-25 08:25:00,194.92,195.28,194.8,195.09,33793.4
665,2025-10-25 08:30:00,195.09,195.09,194.74,194.85,14122.1
666,2025-10-25 08:35:00,194.85,195.25,194.65,194.7,23156.1
667,2025-10-25 08:40:00,194.7,194.7,194.45,194.58,17688.2
668,2025-10-25 08:45:00,194.58,194.8,194.5,194.79,7405.7
669,2025-10-25 08:50:00,194.79,194.91,194.77,194.83,11637.0
670,2025-10-25 08:55:00,194.83,194.9,194.67,194.81,9894.2
671,2025-10-25 09:00:00,194.81,194.85,194.58,194.62,12384.6
672,2025-10-25 09:05:00,194.62,194.68,194.41,194.62,17062.2
673,2025-10-25 09:10:00,194.62,194.79,194.43,194.54,12071.7
674,2025-10-25 09:15:00,194.54,194.54,194.19,194.31,14295.3
675,2025-10-25 09:20:00,194.31,194.38,193.96,193.96,41047.5
676,2025-10-25 09:25:00,193.96,193.97,193.46,193.72,49062.6
677,2025-10-25 09:30:00,193.72,193.73,193.31,193.32,43342.4
678,2025-10-25 09:35:00,193.32,193.72,193.32,193.65,16106.4
679,2025-10-25 09:40:00,193.65,193.73,193.44,193.59,12687.4
680,2025-10-25 09:45:00,193.59,193.59,193.15,193.27,30308.9
681,2025-10-25 09:50:00,193.27,193.27,192.37,192.68,104899.4
682,2025-10-25 09:55:00,192.68,192.68,192.42,192.55,31688.9
683,2025-10-25 10:00:00,192.55,192.73,192.07,192.19,99672.5
684,2025-10-25 10:05:00,192.19,192.23,190.89,191.75,238793.6
685,2025-10-25 10:10:00,191.75,192.09,191.43,191.61,47965.4
686,2025-10-25 10:15:00,191.61,191.94,191.61,191.84,12803.5
687,2025-10-25 10:20:00,191.84,192.04,191.62,191.9,23450.8
688,2025-10-25 10:25:00,191.9,191.9,191.55,191.63,16819.8
689,2025-10-25 10:30:00,191.63,192.17,191.54,191.93,62307.0
690,2025-10-25 10:35:00,191.93,192.06,191.75,191.91,26701.2
691,2025-10-25 10:40:00,191.91,192.06,191.78,191.82,39706.7
692,2025-10-25 10:45:00,191.82,192.02,191.67,191.76,29635.7
693,2025-10-25 10:50:00,191.76,191.81,191.62,191.68,18650.9
694,2025-10-25 10:55:00,191.68,191.99,191.67,191.85,23779.3
695,2025-10-25 11:00:00,191.85,191.99,191.54,191.94,24350.6
696,2025-10-25 11:05:00,191.94,191.95,191.7,191.8,18271.2
697,2025-10-25 11:10:00,191.8,191.95,191.77,191.87,5345.4
698,2025-10-25 11:15:00,191.87,192.08,191.84,192.05,11145.6
699,2025-10-25 11:20:00,192.05,192.34,191.97,192.28,26077.2
700,2025-10-25 11:25:00,192.28,192.54,192.27,192.51,27204.4
701,2025-10-25 11:30:00,192.51,192.52,192.32,192.43,13975.7
702,2025-10-25 11:35:00,192.43,192.65,192.32,192.46,24878.7
703,2025-10-25 11:40:00,192.46,192.55,192.14,192.38,24523.3
704,2025-10-25 11:45:00,192.38,192.53,192.3,192.53,10665.0
705,2025-10-25 11:50:00,192.53,192.81,192.53,192.65,31664.2
706,2025-10-25 11:55:00,192.65,192.7,192.55,192.59,8795.3
707,2025-10-25 12:00:00,192.59,192.88,192.44,192.88,10851.7
708,2025-10-25 12:05:00,192.88,193.17,192.53,193.09,18408.6
709,2025-10-25 12:10:00,193.09,193.25,192.99,193.21,16535.5
710,2025-10-25 12:15:00,193.21,193.44,193.19,193.24,20909.1
711,2025-10-25 12:20:00,193.24,193.53,193.15,193.51,24382.1
712,2025-10-25 12:25:00,193.51,193.57,193.26,193.29,10619.3
713,2025-10-25 12:30:00,193.29,193.41,193.02,193.13,16464.8
714,2025-10-25 12:35:00,193.13,193.39,193.09,193.13,21212.4
715,2025-10-25 12:40:00,193.13,193.88,193.1,193.82,24316.0
716,2025-10-25 12:45:00,193.82,194.13,193.78,193.94,42517.6
717,2025-10-25 12:50:00,193.94,194.06,193.53,193.77,27287.3
718,2025-10-25 12:55:00,193.77,193.95,193.76,193.8,7670.7
719,2025-10-25 13:00:00,193.8,193.84,193.28,193.37,16131.8
720,2025-10-25 13:05:00,193.37,193.44,193.0,193.31,14198.3
721,2025-10-25 13:10:00,193.31,193.32,193.01,193.17,24289.5
722,2025-10-25 13:15:00,193.17,193.4,192.85,192.9,32173.8
723,2025-10-25 13:20:00,192.9,193.17,192.55,193.1,30677.3
724,2025-10-25 13:25:00,193.1,193.11,192.79,192.89,10746.3
725,2025-10-25 13:30:00,192.89,192.98,192.77,192.95,8871.4
726,2025-10-25 13:35:00,192.95,193.04,192.51,192.8,21978.9
727,2025-10-25 13:40:00,192.8,192.8,192.54,192.62,19570.6
728,2025-10-25 13:45:00,192.62,192.62,192.34,192.48,13103.3
729,2025-10-25 13:50:00,192.48,192.76,192.4,192.68,14777.4
730,2025-10-25 13:55:00,192.68,192.84,192.64,192.78,9263.0
731,2025-10-25 14:00:00,192.78,192.8,192.55,192.64,3027.4
732,2025-10-25 14:05:00,192.64,192.66,192.23,192.42,12014.9
733,2025-10-25 14:10:00,192.42,192.42,191.86,192.17,41123.3
734,2025-10-25 14:15:00,192.17,192.41,192.11,192.4,12585.6
735,2025-10-25 14:20:00,192.4,192.65,192.35,192.52,18783.4
736,2025-10-25 14:25:00,192.52,192.65,192.33,192.46,14550.9
737,2025-10-25 14:30:00,192.46,192.46,192.13,192.29,8428.3
738,2025-10-25 14:35:00,192.29,192.69,192.29,192.62,9901.7
739,2025-10-25 14:40:00,192.62,192.78,192.53,192.6,4642.9
740,2025-10-25 14:45:00,192.6,192.61,192.42,192.5,7031.8
741,2025-10-25 14:50:00,192.5,192.55,192.35,192.47,3782.8
742,2025-10-25 14:55:00,192.47,192.62,192.47,192.47,5210.2
743,2025-10-25 15:00:00,192.47,192.47,191.87,192.0,15622.3
744,2025-10-25 15:05:00,192.0,192.1,191.71,191.77,18587.2
745,2025-10-25 15:10:00,191.77,191.94,191.73,191.84,13635.2
746,2025-10-25 15:15:00,191.84,192.0,191.83,191.91,10013.9
747,2025-10-25 15:20:00,191.91,192.18,191.79,191.99,47191.2
748,2025-10-25 15:25:00,191.99,192.27,191.94,192.17,9322.1
749,2025-10-25 15:30:00,192.17,192.21,191.9,191.93,6755.4
750,2025-10-25 15:35:00,191.93,192.54,191.84,192.29,92039.7
751,2025-10-25 15:40:00,192.29,192.6,192.16,192.18,21564.8
752,2025-10-25 15:45:00,192.18,192.22,192.06,192.13,5632.0
753,2025-10-25 15:50:00,192.13,192.23,191.8,191.81,9540.0
754,2025-10-25 15:55:00,191.81,191.99,191.71,191.8,15589.6
755,2025-10-25 16:00:00,191.8,191.91,191.64,191.89,9531.3
756,2025-10-25 16:05:00,191.89,191.89,191.52,191.61,27020.6
757,2025-10-25 16:10:00,191.61,191.68,191.52,191.63,12083.1
758,2025-10-25 16:15:00,191.63,191.79,191.59,191.71,5621.3
759,2025-10-25 16:20:00,191.71,191.89,191.63,191.65,5659.1
760,2025-10-25 16:25:00,191.65,191.71,191.33,191.44,16994.4
761,2025-10-25 16:30:00,191.44,191.7,191.4,191.65,8403.5
762,2025-10-25 16:35:00,191.65,191.72,191.49,191.5,4323.7
763,2025-10-25 16:40:00,191.5,191.64,191.43,191.59,4984.4
764,2025-10-25 16:45:00,191.59,191.94,191.43,191.93,12227.7
765,2025-10-25 16:50:00,191.93,192.04,191.7,191.84,11910.7
766,2025-10-25 16:55:00,191.84,191.88,191.72,191.85,6867.7
767,2025-10-25 17:00:00,191.85,191.95,191.73,191.84,4806.8
768,2025-10-25 17:05:00,191.84,192.35,191.84,192.22,32689.9
769,2025-10-25 17:10:00,192.22,192.34,192.12,192.31,11554.6
770,2025-10-25 17:15:00,192.31,192.31,192.0,192.04,12842.6
771,2025-10-25 17:20:00,192.04,192.24,192.01,192.13,6032.4
772,2025-10-25 17:25:00,192.13,192.14,192.02,192.02,1902.1
773,2025-10-25 17:30:00,192.02,192.28,192.02,192.11,4249.3
774,2025-10-25 17:35:00,192.11,192.25,192.07,192.22,2255.5
775,2025-10-25 17:40:00,192.22,192.35,192.22,192.35,5277.8
776,2025-10-25 17:45:00,192.35,192.35,192.17,192.34,4347.7
777,2025-10-25 17:50:00,192.34,192.47,192.24,192.3,10680.7
778,2025-10-25 17:55:00,192.3,192.47,192.26,192.26,8700.4
779,2025-10-25 18:00:00,192.26,192.48,192.21,192.29,6473.1
780,2025-10-25 18:05:00,192.29,192.5,192.29,192.48,13425.6
781,2025-10-25 18:10:00,192.48,193.34,192.47,193.23,109275.7
782,2025-10-25 18:15:00,193.23,193.25,192.98,193.15,13739.4
783,2025-10-25 18:20:00,193.15,193.17,192.77,193.07,25499.7
784,2025-10-25 18:25:00,193.07,193.91,192.98,193.87,55782.6
785,2025-10-25 18:30:00,193.87,193.98,193.66,193.8,41126.3
786,2025-10-25 18:35:00,193.8,194.13,193.75,194.08,29819.9
787,2025-10-25 18:40:00,194.08,194.22,193.81,193.99,26446.5
788,2025-10-25 18:45:00,193.99,194.22,193.8,193.8,14610.5
789,2025-10-25 18:50:00,193.8,193.99,193.77,193.93,11085.6
790,2025-10-25 18:55:00,193.93,194.33,193.91,194.19,18977.6
791,2025-10-25 19:00:00,194.19,194.22,193.83,194.01,12374.5
792,2025-10-25 19:05:00,194.01,194.04,193.9,193.92,9017.2
793,2025-10-25 19:10:00,193.92,194.08,193.9,194.05,9021.5
794,2025-10-25 19:15:00,194.05,194.5,194.04,194.49,17065.2
795,2025-10-25 19:20:00,194.49,194.53,194.15,194.38,21107.1
796,2025-10-25 19:25:00,194.38,194.48,194.22,194.22,11838.0
797,2025-10-25 19:30:00,194.22,194.56,194.21,194.42,14657.0
798,2025-10-25 19:35:00,194.42,194.5,194.23,194.29,4840.0
799,2025-10-25 19:40:00,194.29,194.45,194.29,194.35,5639.0
800,2025-10-25 19:45:00,194.35,194.61,194.34,194.54,13631.6
801,2025-10-25 19:50:00,194.54,194.54,194.33,194.39,18272.3
802,2025-10-25 19:55:00,194.39,194.5,194.39,194.46,4592.8
803,2025-10-25 20:00:00,194.46,194.51,194.3,194.41,6358.8
804,2025-10-25 20:05:00,194.41,194.5,194.33,194.47,8854.7
805,2025-10-25 20:10:00,194.47,194.53,194.27,194.27,8263.0
